,behavior,cluster,date,depth,ephys,isiViolations,nSpikes,sessiontype,subject,tetrode,tetrodes,clusterQuality,atBestFreq,laserResponse,HighAmpSS,LowAmpSS,HighPeakLoc,LowPeakLoc,HighPeakSR,LowPeakSR
1331,"[None, None, 'band004_am_tuning_curve_20160911a.h5', 'band004_am_tuning_curve_20160911b.h5', None, None, 'band004_bandwidth_am_20160911c.h5', 'band004_bandwidth_am_20160911d.h5']",3,2016-09-11,1080,"['2016-09-11_12-26-35', '2016-09-11_12-30-03', '2016-09-11_12-33-22', '2016-09-11_12-44-55', '2016-09-11_12-49-56', '2016-09-11_12-52-30', '2016-09-11_12-58-44', '2016-09-11_13-18-11']",0.0857632933,2333,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,1,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.8,0.767857142857,2.0,1.0,2.33333333333,1.86666666667
1340,"[None, None, 'band004_am_tuning_curve_20160911a.h5', 'band004_am_tuning_curve_20160911b.h5', None, None, 'band004_bandwidth_am_20160911c.h5', 'band004_bandwidth_am_20160911d.h5']",6,2016-09-11,1080,"['2016-09-11_12-26-35', '2016-09-11_12-30-03', '2016-09-11_12-33-22', '2016-09-11_12-44-55', '2016-09-11_12-49-56', '2016-09-11_12-52-30', '2016-09-11_12-58-44', '2016-09-11_13-18-11']",0.010319385,19382,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,2,"[1, 2, 3, 4, 6]",1,0.0,0.0,0.24375,0.0,2.0,inf,5.33333333333,6.7
1345,"[None, None, 'band004_am_tuning_curve_20160911a.h5', 'band004_am_tuning_curve_20160911b.h5', None, None, 'band004_bandwidth_am_20160911c.h5', 'band004_bandwidth_am_20160911d.h5']",5,2016-09-11,1080,"['2016-09-11_12-26-35', '2016-09-11_12-30-03', '2016-09-11_12-33-22', '2016-09-11_12-44-55', '2016-09-11_12-49-56', '2016-09-11_12-52-30', '2016-09-11_12-58-44', '2016-09-11_13-18-11']",0.0,5179,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth', 'bandwidth']",band004,3,"[1, 2, 3, 4, 6]",1,1.0,0.0,0.533333333333,0.909090909091,0.5,0.5,1.5,1.83333333333
1360,[None],2,2016-09-11,1200,['2016-09-11_13-47-26'],0.5235602094,192,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1363,[None],5,2016-09-11,1200,['2016-09-11_13-47-26'],0.0,227,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1365,[None],2,2016-09-11,1200,['2016-09-11_13-47-26'],0.6872852234,583,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1366,[None],3,2016-09-11,1200,['2016-09-11_13-47-26'],0.0,690,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1369,[None],6,2016-09-11,1200,['2016-09-11_13-47-26'],0.0,629,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1377,[None],2,2016-09-11,1200,['2016-09-11_13-47-26'],0.8583690987,1632,['laserPulse'],band004,4,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1386,[None],5,2016-09-11,1200,['2016-09-11_13-47-26'],0.3766478343,532,['laserPulse'],band004,5,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1396,[None],4,2016-09-11,1250,['2016-09-11_13-55-32'],0.1200480192,1667,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1397,[None],5,2016-09-11,1250,['2016-09-11_13-55-32'],0.0,1052,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1400,[None],2,2016-09-11,1250,['2016-09-11_13-55-32'],0.0,1444,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1419,[None],4,2016-09-11,1250,['2016-09-11_13-55-32'],0.0,895,['laserPulse'],band004,5,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1425,[None],6,2016-09-11,1250,['2016-09-11_13-55-32'],0.0,425,['laserPulse'],band004,6,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1431,"[None, None, 'band004_am_tuning_curve_20160911e.h5', 'band004_am_tuning_curve_20160911f.h5', None, None, 'band004_bandwidth_am_20160911g.h5']",6,2016-09-11,1300,"['2016-09-11_14-03-20', '2016-09-11_14-07-04', '2016-09-11_14-09-27', '2016-09-11_14-20-05', '2016-09-11_14-25-03', '2016-09-11_14-27-59', '2016-09-11_14-32-30']",0.0,4729,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,1,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,1.0,0.0,4.0,inf,0.166666666667,0.233333333333
1447,"[None, None, 'band004_am_tuning_curve_20160911e.h5', 'band004_am_tuning_curve_20160911f.h5', None, None, 'band004_bandwidth_am_20160911g.h5']",5,2016-09-11,1300,"['2016-09-11_14-03-20', '2016-09-11_14-07-04', '2016-09-11_14-09-27', '2016-09-11_14-20-05', '2016-09-11_14-25-03', '2016-09-11_14-27-59', '2016-09-11_14-32-30']",0.0223164472,4482,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,4,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,0.514285714286,0.520547945205,2.0,1.0,8.16666666667,7.3
1451,"[None, None, 'band004_am_tuning_curve_20160911e.h5', 'band004_am_tuning_curve_20160911f.h5', None, None, 'band004_bandwidth_am_20160911g.h5']",3,2016-09-11,1300,"['2016-09-11_14-03-20', '2016-09-11_14-07-04', '2016-09-11_14-09-27', '2016-09-11_14-20-05', '2016-09-11_14-25-03', '2016-09-11_14-27-59', '2016-09-11_14-32-30']",0.0679596424,19130,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,5,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,0.446153846154,0.344370860927,2.0,2.0,8.66666666667,10.0666666667
1453,"[None, None, 'band004_am_tuning_curve_20160911e.h5', 'band004_am_tuning_curve_20160911f.h5', None, None, 'band004_bandwidth_am_20160911g.h5']",5,2016-09-11,1300,"['2016-09-11_14-03-20', '2016-09-11_14-07-04', '2016-09-11_14-09-27', '2016-09-11_14-20-05', '2016-09-11_14-25-03', '2016-09-11_14-27-59', '2016-09-11_14-32-30']",0.1637833965,9770,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,5,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,0.299019607843,0.68202764977,0.25,0.25,6.8,7.23333333333
1455,"[None, None, 'band004_am_tuning_curve_20160911e.h5', 'band004_am_tuning_curve_20160911f.h5', None, None, 'band004_bandwidth_am_20160911g.h5']",2,2016-09-11,1300,"['2016-09-11_14-03-20', '2016-09-11_14-07-04', '2016-09-11_14-09-27', '2016-09-11_14-20-05', '2016-09-11_14-25-03', '2016-09-11_14-27-59', '2016-09-11_14-32-30']",0.272240274,22775,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,6,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,0.394285714286,0.570909090909,0.25,0.0,11.6666666667,9.16666666667
1461,[None],2,2016-09-11,1350,['2016-09-11_14-57-15'],0.0,1833,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1470,[None],5,2016-09-11,1350,['2016-09-11_14-57-15'],0.0,359,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1477,[None],6,2016-09-11,1350,['2016-09-11_14-57-15'],0.0,293,['laserPulse'],band004,3,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1481,[None],4,2016-09-11,1350,['2016-09-11_14-57-15'],0.4484304933,224,['laserPulse'],band004,4,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1482,[None],5,2016-09-11,1350,['2016-09-11_14-57-15'],0.2100840336,477,['laserPulse'],band004,4,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1485,[None],2,2016-09-11,1350,['2016-09-11_14-57-15'],0.3355704698,1193,['laserPulse'],band004,5,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1487,[None],4,2016-09-11,1350,['2016-09-11_14-57-15'],0.0,173,['laserPulse'],band004,5,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1499,[None],4,2016-09-11,1400,['2016-09-11_15-05-45'],0.0,934,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1503,[None],2,2016-09-11,1400,['2016-09-11_15-05-45'],0.0,767,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1509,[None],2,2016-09-11,1400,['2016-09-11_15-05-45'],0.0,1294,['laserPulse'],band004,3,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1523,[None],5,2016-09-11,1400,['2016-09-11_15-05-45'],0.7099391481,987,['laserPulse'],band004,5,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1526,[None],3,2016-09-11,1400,['2016-09-11_15-05-45'],0.0,812,['laserPulse'],band004,6,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1531,[None],4,2016-09-11,1450,['2016-09-11_15-13-14'],0.4319654428,927,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1539,[None],6,2016-09-11,1450,['2016-09-11_15-13-14'],0.0,161,['laserPulse'],band004,2,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1541,[None],2,2016-09-11,1450,['2016-09-11_15-13-14'],0.0,173,['laserPulse'],band004,3,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1548,[None],4,2016-09-11,1450,['2016-09-11_15-13-14'],0.5305039788,755,['laserPulse'],band004,4,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1550,[None],6,2016-09-11,1450,['2016-09-11_15-13-14'],1.0407632264,1154,['laserPulse'],band004,4,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1552,[None],3,2016-09-11,1450,['2016-09-11_15-13-14'],0.0,440,['laserPulse'],band004,5,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1564,[None],3,2016-09-11,1550,['2016-09-11_15-21-41'],0.0,904,['laserPulse'],band004,1,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1579,[None],4,2016-09-11,1550,['2016-09-11_15-21-41'],0.1754385965,571,['laserPulse'],band004,4,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1587,[None],2,2016-09-11,1550,['2016-09-11_15-21-41'],0.0,559,['laserPulse'],band004,6,"[1, 2, 3, 4, 5, 6]",1,,,,,,,,
1597,"[None, None, 'band004_am_tuning_curve_20160911h.h5', 'band004_am_tuning_curve_20160911i.h5', None, None, 'band004_bandwidth_am_20160911j.h5']",6,2016-09-11,1575,"['2016-09-11_15-25-56', '2016-09-11_15-28-17', '2016-09-11_15-30-35', '2016-09-11_15-41-49', '2016-09-11_15-47-06', '2016-09-11_15-49-33', '2016-09-11_15-52-41']",0.0,24923,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,1,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,0.0,0.0252427184466,inf,4.0,11.6451612903,16.6129032258
1623,"[None, None, 'band004_am_tuning_curve_20160911h.h5', 'band004_am_tuning_curve_20160911i.h5', None, None, 'band004_bandwidth_am_20160911j.h5']",2,2016-09-11,1575,"['2016-09-11_15-25-56', '2016-09-11_15-28-17', '2016-09-11_15-30-35', '2016-09-11_15-41-49', '2016-09-11_15-47-06', '2016-09-11_15-49-33', '2016-09-11_15-52-41']",0.0519169329,25041,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band004,6,"[1, 2, 3, 4, 5, 6]",1,0.0,0.0,0.102094240838,0.30198019802,0.5,0.25,12.3225806452,13.0322580645
1631,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",4,2016-09-16,1037,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",0.0,658,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2,[2],1,,,,,,,,
1632,"[None, None, None, None, 'band005_am_tuning_curve_20160916a.h5']",5,2016-09-16,1037,"['2016-09-16_12-14-13', '2016-09-16_12-17-37', '2016-09-16_12-20-17', '2016-09-16_12-22-56', '2016-09-16_12-25-50']",0.0,392,"['noisebursts', 'noisebursts', 'laserPulse', 'laserTrain', 'tuningCurve']",band005,2,[2],1,,,,,,,,
1636,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",4,2016-09-16,1140,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",0.4375880739,40450,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,2,"[2, 4, 6]",1,0.0,0.0,0.0,0.0,inf,inf,21.1666666667,19.5666666667
1644,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",6,2016-09-16,1140,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",0.0396825397,2521,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,4,"[2, 4, 6]",1,0.0,0.0,0.561224489796,0.706896551724,0.25,0.0,3.26666666667,1.93333333333
1646,"[None, None, 'band005_am_tuning_curve_20160916b.h5', 'band005_am_tuning_curve_20160916c.h5', None, None, 'band005_bandwidth_am_20160916d.h5']",2,2016-09-16,1140,"['2016-09-16_12-54-16', '2016-09-16_12-56-52', '2016-09-16_13-00-40', '2016-09-16_13-13-32', '2016-09-16_13-19-50', '2016-09-16_13-22-36', '2016-09-16_13-25-23']",0.0,420,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,6,"[2, 4, 6]",1,0.0,0.0,0.0,0.0,inf,0.25,0.433333333333,0.333333333333
1664,"[None, None, 'band005_am_tuning_curve_20160916e.h5', 'band005_am_tuning_curve_20160916f.h5', None, None, 'band005_bandwidth_am_20160916g.h5']",4,2016-09-16,1270,"['2016-09-16_13-53-37', '2016-09-16_13-57-34', '2016-09-16_14-00-49', '2016-09-16_14-14-35', '2016-09-16_14-21-52', '2016-09-16_14-25-43', '2016-09-16_14-29-09']",0.1314060447,1523,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,4,"[1, 2, 4, 6]",1,0.0,0.0,0.25,0.0,4.0,inf,1.46666666667,1.33333333333
1671,"[None, None, 'band005_am_tuning_curve_20160916e.h5', 'band005_am_tuning_curve_20160916f.h5', None, None, 'band005_bandwidth_am_20160916g.h5']",5,2016-09-16,1270,"['2016-09-16_13-53-37', '2016-09-16_13-57-34', '2016-09-16_14-00-49', '2016-09-16_14-14-35', '2016-09-16_14-21-52', '2016-09-16_14-25-43', '2016-09-16_14-29-09']",0.0,735,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band005,6,"[1, 2, 4, 6]",1,0.0,0.0,0.0,0.235294117647,inf,0.5,1.1,0.566666666667
1724,"[None, None, 'band015_am_tuning_curve_20161110a.h5', 'band015_am_tuning_curve_20161110b.h5', 'band015_bandwidth_am_20161110c.h5', None, None]",4,2016-11-10,1225,"['2016-11-10_13-51-34', '2016-11-10_13-54-14', '2016-11-10_13-58-01', '2016-11-10_14-10-55', '2016-11-10_14-18-03', '2016-11-10_14-29-13', '2016-11-10_14-31-35']",0.0,117,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'bandwidth', 'laserPulse', 'laserTrain']",band015,6,"[2, 6]",1,0.0,0.0,1.0,,1.0,,0.194444444444,
1776,"[None, None]",2,2016-11-10,1500,"['2016-11-10_16-52-54', '2016-11-10_16-55-03']",0.0,217,"['noisebursts', 'laserPulse']",band015,8,"[1, 2, 4, 5, 6, 8]",1,,,,,,,,
1778,"[None, None]",4,2016-11-10,1500,"['2016-11-10_16-52-54', '2016-11-10_16-55-03']",0.0,118,"['noisebursts', 'laserPulse']",band015,8,"[1, 2, 4, 5, 6, 8]",1,,,,,,,,
1794,"[None, None, 'band015_am_tuning_curve_20161110j.h5', 'band015_am_tuning_curve_20161110k.h5', None, None, 'band015_bandwidth_am_20161110l.h5']",3,2016-11-10,1510,"['2016-11-10_16-59-39', '2016-11-10_17-00-51', '2016-11-10_17-04-51', '2016-11-10_17-15-33', '2016-11-10_17-21-38', '2016-11-10_17-24-15', '2016-11-10_17-27-13']",0.0,376,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,5,"[1, 2, 4, 5, 6, 7, 8]",1,0.0,0.0,1.0,,0.0,,0.1,
1860,"[None, None, 'band015_am_tuning_curve_20161111a.h5', 'band015_am_tuning_curve_20161111b.h5', None, None, 'band015_bandwidth_am_20161111c.h5']",4,2016-11-11,950,"['2016-11-11_13-15-46', '2016-11-11_13-18-06', '2016-11-11_13-23-23', '2016-11-11_13-34-17', '2016-11-11_13-41-15', '2016-11-11_13-45-54', '2016-11-11_13-48-01']",0.0,174,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,7,"[1, 2, 4, 6, 7, 8]",1,1.0,0.0,1.0,,1.0,,0.193548387097,
1863,"[None, None, 'band015_am_tuning_curve_20161111a.h5', 'band015_am_tuning_curve_20161111b.h5', None, None, 'band015_bandwidth_am_20161111c.h5']",3,2016-11-11,950,"['2016-11-11_13-15-46', '2016-11-11_13-18-06', '2016-11-11_13-23-23', '2016-11-11_13-34-17', '2016-11-11_13-41-15', '2016-11-11_13-45-54', '2016-11-11_13-48-01']",0.2754820937,3631,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,8,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,0.771022727273,,0.5,,1.77419354839,
1890,"[None, None, 'band015_am_tuning_curve_20161111d.h5', 'band015_am_tuning_curve_20161111e.h5', None, None, 'band015_bandwidth_am_20161111e.h5']",2,2016-11-11,1000,"['2016-11-11_14-06-01', '2016-11-11_14-08-11', '2016-11-11_14-11-30', '2016-11-11_14-22-31', '2016-11-11_14-29-08', '2016-11-11_14-31-50', '2016-11-11_14-34-08']",0.0,4204,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,7,"[1, 2, 3, 4, 6, 7, 8]",1,1.0,0.0,0.8515625,,0.0,,4.0,
1892,"[None, None, 'band015_am_tuning_curve_20161111d.h5', 'band015_am_tuning_curve_20161111e.h5', None, None, 'band015_bandwidth_am_20161111e.h5']",4,2016-11-11,1000,"['2016-11-11_14-06-01', '2016-11-11_14-08-11', '2016-11-11_14-11-30', '2016-11-11_14-22-31', '2016-11-11_14-29-08', '2016-11-11_14-31-50', '2016-11-11_14-34-08']",0.1090512541,1835,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,7,"[1, 2, 3, 4, 6, 7, 8]",1,1.0,0.0,0.803278688525,,0.25,,1.90625,
1905,"[None, None, 'band015_am_tuning_curve_20161111f.h5', 'band015_am_tuning_curve_20161111g.h5', None, None, 'band015_bandwidth_am_20161111h.h5']",2,2016-11-11,1026,"['2016-11-11_14-47-21', '2016-11-11_14-50-27', '2016-11-11_14-53-28', '2016-11-11_15-06-08', '2016-11-11_15-12-02', '2016-11-11_15-14-23', '2016-11-11_15-17-22']",0.1814882033,1103,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,2,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,0.907738095238,,0.25,,1.35483870968,
1918,"[None, None, 'band015_am_tuning_curve_20161111f.h5', 'band015_am_tuning_curve_20161111g.h5', None, None, 'band015_bandwidth_am_20161111h.h5']",3,2016-11-11,1026,"['2016-11-11_14-47-21', '2016-11-11_14-50-27', '2016-11-11_14-53-28', '2016-11-11_15-06-08', '2016-11-11_15-12-02', '2016-11-11_15-14-23', '2016-11-11_15-17-22']",0.0,3818,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,6,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,0.397260273973,,0.0,,2.28125,
1925,"[None, None, 'band015_am_tuning_curve_20161111f.h5', 'band015_am_tuning_curve_20161111g.h5', None, None, 'band015_bandwidth_am_20161111h.h5']",4,2016-11-11,1026,"['2016-11-11_14-47-21', '2016-11-11_14-50-27', '2016-11-11_14-53-28', '2016-11-11_15-06-08', '2016-11-11_15-12-02', '2016-11-11_15-14-23', '2016-11-11_15-17-22']",0.0,379,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,7,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,0.933333333333,,0.0,,0.46875,
1929,"[None, None, 'band015_am_tuning_curve_20161111f.h5', 'band015_am_tuning_curve_20161111g.h5', None, None, 'band015_bandwidth_am_20161111h.h5']",2,2016-11-11,1026,"['2016-11-11_14-47-21', '2016-11-11_14-50-27', '2016-11-11_14-53-28', '2016-11-11_15-06-08', '2016-11-11_15-12-02', '2016-11-11_15-14-23', '2016-11-11_15-17-22']",0.2117382386,30227,"['laserPulse', 'noisebursts', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,8,"[1, 2, 4, 6, 7, 8]",1,0.0,1.0,0.19915872772,,1.0,,52.4838709677,
1983,"[None, None, 'band015_am_tuning_curve_20161112a.h5', 'band015_am_tuning_curve_20161112b.h5', None, None, 'band015_bandwidth_am_20161112c.h5']",5,2016-11-12,950,"['2016-11-12_10-57-51', '2016-11-12_10-59-57', '2016-11-12_11-03-27', '2016-11-12_11-14-05', '2016-11-12_11-19-15', '2016-11-12_11-21-33', '2016-11-12_11-23-40']",0.0,951,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,4,"[2, 4, 6, 8]",1,0.0,0.0,0.0,,inf,,1.93548387097,
2004,"[None, None, 'band015_am_tuning_curve_20161112d.h5', 'band015_am_tuning_curve_20161112e.h5', None, None, 'band015_bandwidth_am_20161112f.h5']",5,2016-11-12,1000,"['2016-11-12_11-50-46', '2016-11-12_11-53-01', '2016-11-12_11-56-50', '2016-11-12_12-12-40', '2016-11-12_12-19-00', '2016-11-12_12-21-23', '2016-11-12_12-23-23']",0.0,5494,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,2,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,0.0,,inf,,7.61290322581,
2005,"[None, None, 'band015_am_tuning_curve_20161112d.h5', 'band015_am_tuning_curve_20161112e.h5', None, None, 'band015_bandwidth_am_20161112f.h5']",6,2016-11-12,1000,"['2016-11-12_11-50-46', '2016-11-12_11-53-01', '2016-11-12_11-56-50', '2016-11-12_12-12-40', '2016-11-12_12-19-00', '2016-11-12_12-21-23', '2016-11-12_12-23-23']",0.6415396953,1248,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,2,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,0.0,,inf,,1.38709677419,
2017,"[None, None, 'band015_am_tuning_curve_20161112d.h5', 'band015_am_tuning_curve_20161112e.h5', None, None, 'band015_bandwidth_am_20161112f.h5']",2,2016-11-12,1000,"['2016-11-12_11-50-46', '2016-11-12_11-53-01', '2016-11-12_11-56-50', '2016-11-12_12-12-40', '2016-11-12_12-19-00', '2016-11-12_12-21-23', '2016-11-12_12-23-23']",0.0,223,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,7,"[1, 2, 4, 6, 7, 8]",1,0.0,0.0,1.0,,0.0,,0.0666666666667,
2022,"[None, None, 'band015_am_tuning_curve_20161112d.h5', 'band015_am_tuning_curve_20161112e.h5', None, None, 'band015_bandwidth_am_20161112f.h5']",4,2016-11-12,1000,"['2016-11-12_11-50-46', '2016-11-12_11-53-01', '2016-11-12_11-56-50', '2016-11-12_12-12-40', '2016-11-12_12-19-00', '2016-11-12_12-21-23', '2016-11-12_12-23-23']",0.0,9112,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,8,"[1, 2, 4, 6, 7, 8]",1,1.0,1.0,0.279158227535,,2.0,,20.40625,
2039,"[None, None, 'band015_am_tuning_curve_20161112g.h5', 'band015_am_tuning_curve_20161112h.h5', None, None, 'band015_bandwidth_am_20161112i.h5']",4,2016-11-12,1100,"['2016-11-12_12-43-09', '2016-11-12_12-46-05', '2016-11-12_12-52-37', '2016-11-12_13-03-28', '2016-11-12_13-09-33', '2016-11-12_13-11-53', '2016-11-12_13-14-28']",0.0,529,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,3,"[1, 2, 3, 4, 6, 7, 8]",1,0.0,0.0,0.84375,,2.0,,0.2,
2049,"[None, None, 'band015_am_tuning_curve_20161112g.h5', 'band015_am_tuning_curve_20161112h.h5', None, None, 'band015_bandwidth_am_20161112i.h5']",2,2016-11-12,1100,"['2016-11-12_12-43-09', '2016-11-12_12-46-05', '2016-11-12_12-52-37', '2016-11-12_13-03-28', '2016-11-12_13-09-33', '2016-11-12_13-11-53', '2016-11-12_13-14-28']",0.212960146,6575,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,6,"[1, 2, 3, 4, 6, 7, 8]",1,1.0,0.0,0.134403935185,,4.0,,6.96774193548,
2052,"[None, None, 'band015_am_tuning_curve_20161112g.h5', 'band015_am_tuning_curve_20161112h.h5', None, None, 'band015_bandwidth_am_20161112i.h5']",5,2016-11-12,1100,"['2016-11-12_12-43-09', '2016-11-12_12-46-05', '2016-11-12_12-52-37', '2016-11-12_13-03-28', '2016-11-12_13-09-33', '2016-11-12_13-11-53', '2016-11-12_13-14-28']",0.2069781195,3383,"['noisebursts', 'laserPulse', 'tuningCurve', 'AM', 'laserPulse', 'laserTrain', 'bandwidth']",band015,6,"[1, 2, 3, 4, 6, 7, 8]",1,0.0,0.0,0.4,,0.25,,1.66666666667,
